label,message
ham,Hey how are you doing today?
spam,Win a free iPhone now!!!
ham,Let's meet at 5 pm
spam,Claim your prize by clicking this link
ham,Did you complete the assignment?
spam,Limited time offer buy now
ham,Call me when you are free
spam,You have won lottery send details
ham,See you tomorrow
spam,Free entry in contest click now
ham,
spam,Exclusive deal just for you
ham,Are we still on for dinner?
spam,Act fast offer expires soon
ham,Please review the document
spam,You are selected for cash reward
ham,Meeting postponed to Monday
spam,Click here to earn money fast
ham,Happy birthday have a great day
spam,Lowest prices guaranteed shop now
ham,Can you send me the notes?
spam,Get rich quick scheme join today
ham,
spam,Urgent respond to claim your gift
ham,Thanks for your help yesterday
spam,Free vacation awaits you
ham,What time is the meeting?
spam,Double your income easily
ham,Let’s catch up this weekend
spam,Hot deals available now
ham,Project deadline is tomorrow
spam,Click to subscribe now
ham,Good morning have a nice day
spam,You have been selected randomly
ham,Can you call me back?
spam,Special promotion just for you
ham,
spam,Don’t miss this opportunity
ham,Please check your email
spam,Winner! claim your reward
ham,Let’s go for lunch
spam,Instant loan approval apply now
ham,Where are you?
spam,Free gift card waiting
ham,Send me the address
spam,Click here for surprise
ham,How was your day?
spam,Best deal of the year
ham,See you soon
spam,Limited seats register now
ham,Thanks for the update
spam,Cheap medicines available
ham,
spam,You won cash prize
ham,Are you coming tonight?
spam,Guaranteed returns invest now
ham,Let me know your thoughts
spam,Act now to save big
ham,Meeting at 10 am
spam,Click to win rewards
ham,Have you eaten?
spam,Lowest EMI offers available
ham,Call me asap
spam,Special discount code inside
ham,All the best for exam
spam,Exclusive membership offer
ham,
spam,You are lucky winner
ham,Reach safely
spam,Free recharge now
ham,Send files quickly
spam,Join now earn more
ham,Let’s plan a trip
spam,Hot sale ends today
ham,Please confirm attendance
spam,Click link to verify account
ham,See you at office
spam,Free bonus waiting
ham,
spam,Unlock premium features now
ham,Good night take care
spam,You are chosen for prize
ham,Let’s discuss tomorrow
spam,Big savings available now
ham,Kindly update status
spam,Win big prizes instantly
ham,Call later busy now
spam,Free coupons grab now
ham,Meeting cancelled
spam,Limited offer hurry up
ham,Thank you so much
spam,Claim cashback now
ham,
spam,Exclusive VIP access
ham,Let’s study together
spam,Act fast limited slots
ham,Reached home safely
spam,Click here to earn daily
ham,Check this out
spam,Free trial available
ham,How’s everything?
spam,Special bonus unlocked
ham,Can you help me?
spam,Win rewards instantly
ham,
spam,Get premium account free
ham,Please join meeting
spam,Offer valid today only
ham,Let’s go shopping
spam,Win a brand new car
ham,See you later
spam,Free entry register now
ham,Take care
spam,Click now don’t miss
ham,Good luck!
spam,Instant rewards waiting
